Character(character=',', codepoint='U+002c', name='COMMA')
Character(character='Ǣ', codepoint='U+01e2', name='LATIN CAPITAL LETTER AE WITH MACRON')
Character(character='ǣ', codepoint='U+01e3', name='LATIN SMALL LETTER AE WITH MACRON')
Character(character='Ǫ', codepoint='U+01ea', name='LATIN CAPITAL LETTER O WITH OGONEK')
Character(character='ǫ', codepoint='U+01eb', name='LATIN SMALL LETTER O WITH OGONEK')
Character(character='ǰ', codepoint='U+01f0', name='LATIN SMALL LETTER J WITH CARON')
Character(character='Ǿ', codepoint='U+01fe', name='LATIN CAPITAL LETTER O WITH STROKE AND ACUTE')
Character(character='ǿ', codepoint='U+01ff', name='LATIN SMALL LETTER O WITH STROKE AND ACUTE')
Character(character='Ȳ', codepoint='U+0232', name='LATIN CAPITAL LETTER Y WITH MACRON')
Character(character='ȳ', codepoint='U+0233', name='LATIN SMALL LETTER Y WITH MACRON')
Character(character='ə', codepoint='U+0259', name='LATIN SMALL LETTER SCHWA')
Character(character='ɪ', codepoint='U+026a', name='LATIN LETTER SMALL CAPITAL I')
Character(character='ʏ', codepoint='U+028f', name='LATIN LETTER SMALL CAPITAL Y')
Character(character='̥', codepoint='U+0325', name='COMBINING RING BELOW')
Character(character='̯', codepoint='U+032f', name='COMBINING INVERTED BREVE BELOW')
Character(character='Ͱ', codepoint='U+0370', name='GREEK CAPITAL LETTER HETA')
Character(character='ͱ', codepoint='U+0371', name='GREEK SMALL LETTER HETA')
Character(character='Ͳ', codepoint='U+0372', name='GREEK CAPITAL LETTER ARCHAIC SAMPI')
Character(character='ͳ', codepoint='U+0373', name='GREEK SMALL LETTER ARCHAIC SAMPI')
Character(character='ʹ', codepoint='U+0374', name='GREEK NUMERAL SIGN')
Character(character='͵', codepoint='U+0375', name='GREEK LOWER NUMERAL SIGN')
Character(character='Ͷ', codepoint='U+0376', name='GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA')
Character(character='ͷ', codepoint='U+0377', name='GREEK SMALL LETTER PAMPHYLIAN DIGAMMA')
Character(character='ͺ', codepoint='U+037a', name='GREEK YPOGEGRAMMENI')
Character(character='ͻ', codepoint='U+037b', name='GREEK SMALL REVERSED LUNATE SIGMA SYMBOL')
Character(character='ͼ', codepoint='U+037c', name='GREEK SMALL DOTTED LUNATE SIGMA SYMBOL')
Character(character='ͽ', codepoint='U+037d', name='GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL')
Character(character=';', codepoint='U+037e', name='GREEK QUESTION MARK')
Character(character='Ϳ', codepoint='U+037f', name='GREEK CAPITAL LETTER YOT')
Character(character='΄', codepoint='U+0384', name='GREEK TONOS')
Character(character='΅', codepoint='U+0385', name='GREEK DIALYTIKA TONOS')
Character(character='Ά', codepoint='U+0386', name='GREEK CAPITAL LETTER ALPHA WITH TONOS')
Character(character='·', codepoint='U+0387', name='GREEK ANO TELEIA')
Character(character='Έ', codepoint='U+0388', name='GREEK CAPITAL LETTER EPSILON WITH TONOS')
Character(character='Ή', codepoint='U+0389', name='GREEK CAPITAL LETTER ETA WITH TONOS')
Character(character='Ί', codepoint='U+038a', name='GREEK CAPITAL LETTER IOTA WITH TONOS')
Character(character='Ό', codepoint='U+038c', name='GREEK CAPITAL LETTER OMICRON WITH TONOS')
Character(character='Ύ', codepoint='U+038e', name='GREEK CAPITAL LETTER UPSILON WITH TONOS')
Character(character='Ώ', codepoint='U+038f', name='GREEK CAPITAL LETTER OMEGA WITH TONOS')
Character(character='ΐ', codepoint='U+0390', name='GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS')
Character(character='Α', codepoint='U+0391', name='GREEK CAPITAL LETTER ALPHA')
Character(character='Β', codepoint='U+0392', name='GREEK CAPITAL LETTER BETA')
Character(character='Γ', codepoint='U+0393', name='GREEK CAPITAL LETTER GAMMA')
Character(character='Δ', codepoint='U+0394', name='GREEK CAPITAL LETTER DELTA')
Character(character='Ε', codepoint='U+0395', name='GREEK CAPITAL LETTER EPSILON')
Character(character='Ζ', codepoint='U+0396', name='GREEK CAPITAL LETTER ZETA')
Character(character='Η', codepoint='U+0397', name='GREEK CAPITAL LETTER ETA')
Character(character='Θ', codepoint='U+0398', name='GREEK CAPITAL LETTER THETA')
Character(character='Ι', codepoint='U+0399', name='GREEK CAPITAL LETTER IOTA')
Character(character='Κ', codepoint='U+039a', name='GREEK CAPITAL LETTER KAPPA')
Character(character='Λ', codepoint='U+039b', name='GREEK CAPITAL LETTER LAMDA')
Character(character='Μ', codepoint='U+039c', name='GREEK CAPITAL LETTER MU')
Character(character='Ν', codepoint='U+039d', name='GREEK CAPITAL LETTER NU')
